timestamp_ms,frametime_ms,fps
1757230058590,8.159,122.57
1757230058598,8.682,115.19
1757230058607,8.528,117.26
1757230058616,9.212,108.55
1757230058624,7.473,133.81
1757230058631,8.449,118.36
1757230058641,8.724,114.63
1757230058649,8.674,115.28
1757230058658,8.400,119.04
1757230058667,9.118,109.68
1757230058674,7.539,132.65
1757230058683,8.574,116.63
1757230058692,8.325,120.11
1757230058699,8.377,119.38
1757230058708,8.387,119.24
1757230058718,9.144,109.36
1757230058725,7.472,133.83
1757230058733,8.517,117.41
1757230058742,8.943,111.82
1757230058751,8.315,120.27
1757230058759,8.722,114.65
1757230058769,9.720,102.88
1757230058777,7.577,131.97
1757230058785,8.377,119.37
1757230058793,8.296,120.54
1757230058801,8.325,120.12
1757230058810,8.535,117.17
1757230058819,9.016,110.92
1757230058826,7.556,132.35
1757230058835,8.247,121.25
1757230058843,8.333,120.01
1757230058852,9.233,108.31
1757230058861,8.549,116.98
1757230058869,9.227,108.38
1757230058878,8.038,124.40
1757230058886,7.982,125.28
1757230058896,9.586,104.32
1757230058905,9.212,108.56
1757230058914,8.281,120.77
1757230058922,9.234,108.29
1757230058931,7.716,129.59
1757230058939,8.958,111.63
1757230058948,8.311,120.32
1757230058956,8.593,116.37
1757230058965,8.421,118.75
1757230058974,9.034,110.69
1757230058981,7.767,128.75
1757230058990,8.192,122.07
1757230058998,8.365,119.54
1757230059006,8.315,120.26
1757230059016,10.136,98.66
1757230059023,7.525,132.90
1757230059032,8.364,119.56
1757230059041,8.381,119.32
1757230059049,8.294,120.56
1757230059057,8.231,121.49
1757230059067,9.787,102.18
1757230059074,6.941,144.07
1757230059082,8.419,118.78
1757230059091,8.882,112.59
1757230059100,8.312,120.31
1757230059108,8.619,116.02
1757230059117,9.156,109.21
1757230059125,7.581,131.91
1757230059133,8.396,119.10
1757230059141,8.578,116.58
1757230059150,8.021,124.67
1757230059158,8.294,120.56
1757230059168,9.761,102.45
1757230059175,7.564,132.21
1757230059184,8.647,115.65
1757230059193,8.327,120.09
1757230059202,8.925,112.05
1757230059209,7.977,125.36
1757230059219,9.225,108.40
1757230059226,7.481,133.67
1757230059235,8.629,115.89
1757230059243,7.989,125.17
1757230059251,8.322,120.16
1757230059260,8.332,120.03
1757230059268,9.162,109.15
1757230059277,8.139,122.86
1757230059285,7.888,126.78
1757230059293,8.324,120.13
1757230059302,8.527,117.28
1757230059310,8.175,122.33
1757230059319,9.143,109.38
1757230059326,7.530,132.80
1757230059335,8.303,120.44
1757230059343,8.538,117.13
1757230059351,8.132,122.97
1757230059361,9.546,104.75
1757230059369,8.959,111.62
1757230059377,7.796,128.26
1757230059386,8.538,117.12
1757230059395,8.336,119.96
1757230059403,8.381,119.32
1757230059412,8.366,119.53
1757230059421,9.592,104.25
1757230059428,7.108,140.68
1757230059436,8.492,117.76
1757230059444,8.135,122.92
1757230059452,8.318,120.22
1757230059461,8.528,117.26
1757230059471,9.753,102.54
1757230059478,7.262,137.71
1757230059487,8.334,119.99
1757230059495,8.619,116.03
1757230059503,8.881,112.60
1757230059512,7.989,125.18
1757230059521,9.317,107.34
1757230059529,7.345,136.15
1757230059537,8.290,120.63
1757230059546,8.437,118.52
1757230059553,8.239,121.37
1757230059562,8.564,116.76
1757230059571,8.995,111.18
1757230059579,7.518,133.01
1757230059587,8.327,120.09
1757230059595,8.298,120.51
1757230059603,8.301,120.47
1757230059613,8.341,119.89
1757230059622,9.279,107.77
1757230059629,7.451,134.21
1757230059637,8.263,121.02
1757230059646,8.538,117.12
1757230059654,8.210,121.80
1757230059663,8.324,120.13
1757230059671,9.231,108.34
1757230059679,8.033,124.49
1757230059688,8.278,120.80
1757230059696,8.460,118.20
1757230059704,8.492,117.76
1757230059713,8.067,123.97
1757230059722,9.469,105.61
1757230059730,7.247,137.99
1757230059738,8.279,120.79
1757230059747,9.281,107.75
1757230059756,8.326,120.11
1757230059764,8.351,119.75
1757230059773,9.053,110.47
1757230059781,7.803,128.16
1757230059789,8.627,115.92
1757230059798,8.371,119.47
1757230059806,8.303,120.44
1757230059815,8.763,114.11
1757230059823,8.749,114.30
1757230059831,7.804,128.14
1757230059840,8.985,111.30
1757230059848,7.994,125.10
1757230059857,8.321,120.18
1757230059866,9.303,107.49
1757230059873,7.460,134.06
1757230059882,8.368,119.51
1757230059889,8.299,120.49
1757230059898,8.546,117.01
1757230059907,8.420,118.77
1757230059916,8.994,111.18
1757230059924,7.742,129.16
1757230059932,8.429,118.63
1757230059940,8.137,122.90
1757230059949,8.336,119.96
1757230059957,8.339,119.92
1757230059966,9.011,110.98
1757230059974,7.666,130.45
1757230059982,8.430,118.63
1757230059990,8.233,121.47
1757230059999,9.101,109.87
1757230060008,8.133,122.96
1757230060017,9.061,110.37
1757230060023,7.684,130.14
1757230060032,8.284,120.71
1757230060041,8.846,113.05
1757230060050,8.941,111.85
1757230060059,8.428,118.65
1757230060068,8.985,111.30
1757230060076,7.805,128.13
1757230060083,8.254,121.16
1757230060092,8.280,120.77
1757230060101,8.513,117.46
1757230060109,8.502,117.62
1757230060118,9.102,109.87
1757230060126,7.581,131.91
1757230060133,8.416,118.83
1757230060142,8.748,114.31
1757230060151,8.593,116.38
1757230060160,8.304,120.42
1757230060169,8.756,114.20
1757230060176,7.768,128.74
1757230060185,8.284,120.71
1757230060193,8.269,120.94
1757230060201,8.428,118.65
1757230060210,8.367,119.52
1757230060219,9.047,110.53
1757230060226,7.795,128.29
1757230060236,9.365,106.78
1757230060244,7.914,126.36
